sigungu,lat,lon,shelter_name,shelter_type,road_address,lot_address,area_m2,capacity,fans,aircons,rest_area,night_open,weekend_open,stay_open
안동시,36.5758578,128.7350017,치이골경로당,특정계층이용시설,경상북도 안동시 치이골길 19,-,85.8,14,4,2,-,아니오,아니오,아니오
고령군,35.691257,128.2677593,안화골경로당,특정계층이용시설,경상북도 고령군 쌍림면안화1길 88,-,68.04,21,1,1,-,아니오,아니오,아니오
청송군,36.530877,129.057259,제2각산리경로당,특정계층이용시설,경상북도 청송군 진보면 진보로 241-7,-,194,59,2,1,-,아니오,아니오,아니오
예천군,36.716476,128.40644,선1리경로당,특정계층이용시설,경상북도 예천군 용문면 선동길 319-4,-,101,25,1,1,-,아니오,아니오,아니오
칠곡군,36.075171,128.41354,장곡경로당,특정계층이용시설,경상북도 칠곡군 석적읍 장곡길  173,-,95.8,40,2,1,-,아니오,아니오,아니오
칠곡군,36.0660187,128.4029379,남율1리(밤실)경로당,특정계층이용시설,경상북도 칠곡군 석적읍 남율로3길 21,-,83,25,2,1,-,아니오,아니오,아니오
칠곡군,36.077199,128.3942637,남율2리경로당,특정계층이용시설,경상북도 칠곡군 석적읍 신기길 46,-,56.58,30,2,2,-,아니오,아니오,아니오
상주시,36.4203161,128.156312,"북문동3,4통경로당",특정계층이용시설,경상북도 상주시 봉양1길 11,-,175,56,2,2,-,아니오,아니오,아니오
상주시,36.4525,128.1787,초산6통마을회관,특정계층이용시설,경상북도 상주시 발산로 190 (초산동),-,154,75,4,2,-,아니오,아니오,아니오
상주시,36.4588699,128.16236,초림경로당,특정계층이용시설,경상북도 상주시 초림이길 14,-,86,28,2,2,-,아니오,아니오,아니오
상주시,36.4224,128.1561,동보경로당,특정계층이용시설,경상북도 상주시 동수3길 90,-,33,10,1,1,-,아니오,아니오,아니오
상주시,36.4504301,128.155486,부원2동경로당,특정계층이용시설,경상북도 상주시 부원3길 33,-,137,41,3,1,-,아니오,아니오,아니오
칠곡군,36.0507276,128.417328,포남1리개암경로당,특정계층이용시설,경상북도 칠곡군 석적읍 포망로 80,-,85.88,40,2,1,-,아니오,아니오,아니오
칠곡군,36.0417818,128.4179235,포남2리아랫개내미경로당,특정계층이용시설,경상북도 칠곡군 석적읍 포남2길 62,-,110,50,5,1,-,아니오,아니오,아니오
구미시,36.152919,128.30771,봉곡도서관공원,야외시설,경상북도 구미시 봉곡로15길 54,-,59.2,9,정보없음,정보없음,-,아니오,아니오,아니오
문경시,36.593325,128.004405,대정숲,야외시설,경상북도 문경시 청화로 1128  (농암면),-,1000,152,정보없음,정보없음,-,-,-,-
예천군,36.736673,128.4171664,금곡2리지경터경로당,특정계층이용시설,경상북도 예천군 은풍면 어림성길 243,-,83,20,1,1,-,아니오,아니오,아니오
예천군,36.697628,128.423307,능천리경로당,특정계층이용시설,경상북도 예천군 용문면 반서울로 167,-,73,18,3,1,-,아니오,아니오,아니오
의성군,36.4270104,128.7502652,사촌2리경로당,특정계층이용시설,경상북도 의성군 점곡면 사촌2길 11-2,-,69.2,20,0,1,-,아니오,아니오,아니오
의성군,36.4255838,128.7619731,사촌3리,특정계층이용시설,경상북도 의성군 점곡면 점곡길 17,-,83.2,22,3,2,-,아니오,아니오,아니오
예천군,36.4891485,128.3054097,괴당2경로당,특정계층이용시설,경상북도 예천군 풍양면 괴당2길 56,-,90,22,2,1,-,아니오,아니오,아니오
예천군,36.704622,128.445137,맛질경로당,특정계층이용시설,경상북도 예천군 용문면 큰맛질길 4,-,168,42,2,1,-,아니오,아니오,아니오
상주시,36.4258,128.157,상주무양지엘리베라움경로당(102동1층),특정계층이용시설,경상북도 상주시 봉양1길 126,-,101.66,25,1,1,-,아니오,아니오,아니오
상주시,36.441345,128.153824,만산마을회관,특정계층이용시설,경상북도 상주시 만산7길 23,-,148,25,3,2,-,아니오,아니오,아니오
영양군,36.7123425,129.2060262,죽파경로당,특정계층이용시설,경상북도 영양군 수비면 낙동정맥로 1538,-,37.92,30,2,1,-,아니오,-,아니오
영양군,36.7008145,129.1921002,송죽경로당,특정계층이용시설,경상북도 영양군 수비면 가천로 614,-,90.23,30,2,1,-,아니오,-,아니오
김천시,36.1198445,128.1386757,지좌동아주아트빌경로당,특정계층이용시설,"경상북도 김천시 공절길 43 (지좌동, 지좌동 아주아트빌)",-,70,18,2,1,-,아니오,아니오,예
의성군,36.3704242,128.4526856,위양2리경로당,특정계층이용시설,경상북도 의성군 안계면 위양2길  43-1,-,82.11,9,3,1,-,아니오,아니오,아니오
영천시,35.991895,128.828791,신학2리경로당,특정계층이용시설,경상북도 영천시 청통면새학길 61,-,39.3,20,2,1,-,예,예,아니오
영천시,35.990974,128.798493,치일1리경로당,특정계층이용시설,경상북도 영천시 청통면치일길 4,-,105.43,30,3,2,-,예,예,아니오
의성군,36.3246687,128.5475664,화신2리마을회관,특정계층이용시설,경상북도 의성군 비안면 교화길  1168,-,60.5,20,1,1,-,아니오,아니오,아니오
의성군,36.3172344,128.5385163,쌍계리(남)경로당,특정계층이용시설,경상북도 의성군 비안면 강변길  592,-,227.82,15,1,1,-,아니오,아니오,아니오
의성군,36.3048607,128.5456502,도암1리마을회관,특정계층이용시설,경상북도 의성군 비안면 도암1길 64,-,94.5,20,1,1,-,아니오,아니오,아니오
의성군,36.3089875,128.5193696,도암2리마을회관,특정계층이용시설,경상북도 의성군 비안면 도암2길  145,-,68.4,20,2,2,-,아니오,아니오,아니오
의성군,36.3248156,128.5179725,장춘2리마을회관,특정계층이용시설,경상북도 의성군 비안면 장춘2길 63-9,-,101.92,20,1,1,-,-,아니오,-
의성군,36.3369918,128.4919578,비안면분회경로당,특정계층이용시설,경상북도 의성군 비안면 이두2길 3-4,-,168.62,20,2,1,-,-,아니오,-
의성군,36.404112,128.6136648,박곡3리경로당,특정계층이용시설,경상북도 의성군 안평면박실길 248,-,48.22,10,2,1,-,아니오,아니오,아니오
고령군,35.829447,128.452817,다산휴먼시아3단지경로당,특정계층이용시설,경상북도 고령군 다산면 평리6길 30 (다산휴먼시아3단지),-,163,49,1,1,-,아니오,아니오,아니오
고령군,35.835619,128.436196,못골경로당,특정계층이용시설,경상북도 고령군 다산면못골길 182,-,66.72,20,1,1,-,아니오,아니오,아니오
의성군,36.2950381,128.5983315,구산1리경로당,특정계층이용시설,경상북도 의성군 봉양면 구산길 88,-,90.15,12,2,1,-,아니오,아니오,아니오
예천군,36.65167,128.456531,남산경로당,특정계층이용시설,경상북도 예천군 예천읍 남산공원길 9,-,69,17,1,1,-,아니오,아니오,아니오
예천군,36.653586,128.447818,서본2리경로당,특정계층이용시설,경상북도 예천군 예천읍 봉덕로 134,-,92,23,1,1,-,아니오,아니오,아니오
칠곡군,36.055075,128.38542,오평2리경로당,특정계층이용시설,경상북도 칠곡군 북삼읍 오평1길  133,-,94,23,2,1,-,아니오,아니오,아니오
상주시,36.2862,128.0693,장동3리마을회관,특정계층이용시설,경상북도 상주시 공성면 장동2길 53,-,93,26,2,1,-,아니오,아니오,아니오
구미시,36.118843,128.401648,우담공원,야외시설,경상북도 구미시 인동14길 24,-,1930.2,293,정보없음,정보없음,-,아니오,아니오,아니오
상주시,36.5211,128.1519,율곡1리경로당,특정계층이용시설,경상북도 상주시 공검면 법구지2길 2,-,132,50,1,2,-,아니오,아니오,아니오
상주시,36.2761,128.0692,장동2리마을회관,특정계층이용시설,경상북도 상주시 공성면 장동3길 136-4,-,86,26,2,1,-,아니오,아니오,아니오
상주시,36.2974,128.0735,오광2리마을회관,특정계층이용시설,경상북도 상주시 공성면 오광2길 60,-,91,30,2,1,-,아니오,아니오,아니오
의성군,36.3706775,128.7558603,구암2리,특정계층이용시설,경상북도 의성군 점곡면 의성길안로 617-8,-,77.3,12,2,1,-,아니오,아니오,아니오
의성군,36.3778906,128.751322,명고1리,특정계층이용시설,경상북도 의성군 점곡면 명고1길 6,-,82.3,12,2,1,-,아니오,아니오,아니오
상주시,36.4417038,128.2519457,도남경로당,특정계층이용시설,경상북도 상주시 도남2길 37 (도남동),-,99,30,3,2,-,아니오,아니오,아니오
상주시,36.416037,128.1999,외답6통마을회관,특정계층이용시설,경상북도 상주시  외답1길  35   (외답동),-,136,30,3,2,-,아니오,아니오,아니오
상주시,36.4338,128.2226,병성동마을회관,특정계층이용시설,경상북도 상주시 병성1길 15,-,101,30,2,1,-,아니오,아니오,아니오
의성군,36.3033889,128.6535552,풍리3리경로당,특정계층이용시설,경상북도 의성군 봉양면풍리비봉길 368,-,74.31,15,2,1,-,아니오,아니오,아니오
김천시,36.113124,128.156163,덕곡주공경로당,특정계층이용시설,"경상북도 김천시 무실7길 38 (덕곡동, 덕곡주공아파트)",-,93,23,2,1,-,아니오,아니오,예
예천군,36.6904,128.407903,용문면경로당,특정계층이용시설,경상북도 예천군 용문면 상금시장길 16-7,-,317,79,3,1,-,아니오,아니오,아니오
예천군,36.6911396,128.409746,상금곡1리경로당,특정계층이용시설,경상북도 예천군 용문면 금당실길 74,-,83,20,1,1,-,아니오,아니오,아니오
예천군,36.690315,128.406336,상금2리경로당,특정계층이용시설,경상북도 예천군 용문면 용문경천로 1171,-,102,25,2,1,-,아니오,아니오,아니오
의성군,36.3021479,128.5790437,화전1리(원화전)경로당,특정계층이용시설,경상북도 의성군 봉양면 화전길 17,-,26.45,10,2,1,-,아니오,아니오,아니오
의성군,36.3179427,128.6428473,길천1리경로당,특정계층이용시설,경상북도 의성군 봉양면길천1길 82-4,-,75.6,20,3,1,-,아니오,아니오,아니오
의성군,36.3274757,128.6023709,사부2리경로당,특정계층이용시설,경상북도 의성군 봉양면 사부2길 179,-,67.2,13,2,1,-,아니오,아니오,아니오
의성군,36.301106,128.5841829,봉양면분회경로당,특정계층이용시설,경상북도 의성군 봉양면 도리원2길 59,-,176.9,12,1,1,-,아니오,아니오,아니오
