emd_code,sido_name,sigungu_name,emd_name,center_lat,center_lon,grid_nx,grid_ny,announce_time,temperature,humidity,feels_like,risk_tier
4728032000,경상북도,문경시,산양면,36.62150114673841,128.25795240722383,82,107,20260823T01:00,22.3,100.0,25.6,양호
4728054500,경상북도,문경시,신평동,36.62663085958773,128.14456043731553,80,107,20260823T01:00,22.3,100.0,25.6,양호
4728053000,경상북도,문경시,신흥동,36.61826262025568,128.19781177217345,81,107,20260823T01:00,22.3,100.0,25.6,양호
4728031000,경상북도,문경시,영순면,36.56594145636023,128.25674985291545,82,105,20260823T01:00,22.3,100.0,25.6,양호
4728057000,경상북도,문경시,점촌1동,36.59754044956661,128.19731206990497,81,106,20260823T01:00,22.3,100.0,25.6,양호
4728058000,경상북도,문경시,점촌2동,36.58500991885777,128.20647731081218,82,106,20260823T01:00,22.3,100.0,25.6,양호
4728059000,경상북도,문경시,점촌3동,36.61826262025568,128.19781177217345,81,107,20260823T01:00,22.3,100.0,25.6,양호
4728060000,경상북도,문경시,점촌4동,36.626630315015234,128.14466109168572,80,107,20260823T01:00,22.3,100.0,25.6,양호
4728061000,경상북도,문경시,점촌5동,36.59038505991944,128.18602391469463,81,106,20260823T01:00,22.3,100.0,25.6,양호
4728051500,경상북도,문경시,점촌동,36.59754044956661,128.19731206990497,81,106,20260823T01:00,22.3,100.0,25.6,양호
4728052000,경상북도,문경시,중앙동,36.58500991885777,128.20647731081218,82,106,20260823T01:00,22.3,100.0,25.6,양호
4728033000,경상북도,문경시,호계면,36.66428766797076,128.19548555387544,81,108,20260823T01:00,22.3,100.0,25.6,양호
4792037000,경상북도,봉화군,명호면,36.83371604647739,128.88487555981627,93,112,20260823T01:00,21.3,99.0,24.5,양호
4792031000,경상북도,봉화군,물야면,36.97519027201017,128.7472849078285,91,115,20260823T01:00,20.6,100.0,23.8,양호
4792033000,경상북도,봉화군,법전면,36.90832856808339,128.90900918974285,94,113,20260823T01:00,21.3,99.0,24.5,양호
4792032000,경상북도,봉화군,봉성면,36.911733257583336,128.8099988666245,92,113,20260823T01:00,21.3,99.0,24.5,양호
4792025000,경상북도,봉화군,봉화읍,36.889082723753226,128.70511303182514,90,113,20260823T01:00,22.5,98.0,25.6,양호
4792038000,경상북도,봉화군,상운면,36.84028056603214,128.7843083718578,91,112,20260823T01:00,22.5,98.0,25.6,양호
4792039000,경상북도,봉화군,석포면,37.044680495670505,129.06491211934767,96,116,20260823T01:00,19.7,95.0,22.5,양호
4792035000,경상북도,봉화군,소천면,36.95550255966662,129.02039497997876,95,114,20260823T01:00,21.3,99.0,24.5,양호
4792036000,경상북도,봉화군,재산면,36.81278485681581,129.00010144248142,95,111,20260823T01:00,21.3,99.0,24.5,양호
