SERIAL	ADMCD	ADMNM	LAT	LON
4244	4728025100	경상북도 문경시 문경읍갈평출장소	36.7871268	128.1580961
4245	4728025300	경상북도 문경시 가은읍	36.6594628	127.9979434
4246	4728025400	경상북도 문경시 가은읍북부출장소	36.5772707	128.0877273
4247	4728029000	경상북도 문경시 문경읍갈평출장소	36.7871268	128.1580961
4248	4728029100	경상북도 문경시 가은읍북부출장소	36.5772707	128.0877273
4249	4728031000	경상북도 문경시 영순면	36.5659415	128.2567499
4250	4728032000	경상북도 문경시 산양면	36.6215011	128.2579524
4251	4728033000	경상북도 문경시 호계면	36.6642877	128.1954856
4252	4728034000	경상북도 문경시 산북면	36.7087214	128.2574982
4253	4728035000	경상북도 문경시 동로면	36.7747035	128.3167976
4254	4728036000	경상북도 문경시 마성면	36.6835410	128.1103940
4255	4728037000	경상북도 문경시 농암면	36.5827608	127.9789282
4256	4728051500	경상북도 문경시 점촌동	36.5975404	128.1973121
4257	4728052000	경상북도 문경시 중앙동	36.5850099	128.2064773
4258	4728053000	경상북도 문경시 신흥동	36.6182626	128.1978118
4259	4728054500	경상북도 문경시 신평동	36.6266309	128.1445604
4260	4728056000	경상북도 문경시 모전동	36.5903851	128.1860239
4261	4728057000	경상북도 문경시 점촌1동	36.5975404	128.1973121
4262	4728058000	경상북도 문경시 점촌2동	36.5850099	128.2064773
4263	4728059000	경상북도 문경시 점촌3동	36.6182626	128.1978118
4264	4728060000	경상북도 문경시 점촌4동	36.6266303	128.1446611
4265	4728061000	경상북도 문경시 점촌5동	36.5903851	128.1860239
4266	4729000000	경상북도 경산시	35.8476924	128.8028903
4267	4729025000	경상북도 경산시 하양읍	35.9055948	128.7864856
4268	4729025300	경상북도 경산시 진량읍	35.8695262	128.8260980
4269	4729025600	경상북도 경산시 압량읍	35.8427014	128.7722706
4270	4729031000	경상북도 경산시 와촌면	35.9506427	128.8000329
4271	4729033000	경상북도 경산시 자인면	35.8227782	128.8296371
4272	4729034000	경상북도 경산시 용성면	35.7986378	128.8961748
4273	4729035000	경상북도 경산시 남산면	35.7768024	128.8187149
4274	4729036000	경상북도 경산시 압량면	35.8420457	128.7728913
4275	4729037000	경상북도 경산시 남천면	35.7534051	128.7461833
4276	4729051000	경상북도 경산시 중방동	35.8286566	128.7349819
4277	4729052000	경상북도 경산시 중앙동	35.8234194	128.7392844
4278	4729053000	경상북도 경산시 남부동	35.8045340	128.7425657
4279	4729054000	경상북도 경산시 서부동	35.8144976	128.7248561
4280	4729054100	경상북도 경산시 서부1동	35.8144976	128.7248561
4281	4729054200	경상북도 경산시 서부2동	35.8353414	128.7275236
4282	4729055000	경상북도 경산시 북부동	35.8356764	128.7535803
4283	4729056000	경상북도 경산시 동부동	35.8034962	128.7719660
4284	4772000000	경상북도 군위군	36.1674919	128.7248891
4285	4772025000	경상북도 군위군 군위읍	36.2351039	128.5789001
4286	4772031000	경상북도 군위군 소보면	36.2559960	128.4711060
4287	4772032000	경상북도 군위군 효령면	36.1431955	128.5887216
4288	4772033000	경상북도 군위군 부계면	36.0663671	128.6598492
4289	4772034000	경상북도 군위군 우보면	36.1690509	128.6447940
4290	4772035000	경상북도 군위군 의흥면	36.1625309	128.7374302
4291	4772036000	경상북도 군위군 산성면	36.0935772	128.7169097
4292	4772037000	경상북도 군위군 고로면	36.1513469	128.8287820
4293	4772038000	경상북도 군위군 삼국유사면	36.1511343	128.8284449
4294	4773000000	경상북도 의성군	36.3621999	128.5944953
4295	4773025000	경상북도 의성군 의성읍	36.3506205	128.7000809
4296	4773031000	경상북도 의성군 단촌면	36.4336913	128.6902026
4297	4773032000	경상북도 의성군 점곡면	36.4044965	128.7652217
4298	4773033000	경상북도 의성군 옥산면	36.3749456	128.8300116
4299	4773034000	경상북도 의성군 사곡면	36.3036831	128.7906549
4300	4773035000	경상북도 의성군 춘산면	36.2381942	128.8183991
4301	4773036000	경상북도 의성군 가음면	36.2300770	128.7281345
4302	4773037000	경상북도 의성군 금성면	36.2608765	128.6857049
4303	4773038000	경상북도 의성군 봉양면	36.3061270	128.6110974
4304	4773039000	경상북도 의성군 비안면	36.3394747	128.5146513
4305	4773040000	경상북도 의성군 구천면	36.3281658	128.4205060
4306	4773041000	경상북도 의성군 단밀면	36.3686186	128.3634633
4307	4773042000	경상북도 의성군 단북면	36.3941325	128.3939194
4308	4773043000	경상북도 의성군 안계면	36.3956724	128.4648010
4309	4773044000	경상북도 의성군 다인면	36.4690269	128.3660713
4310	4773045000	경상북도 의성군 신평면	36.4698246	128.5174415
4311	4773046000	경상북도 의성군 안평면	36.3897203	128.5808544
4312	4773047000	경상북도 의성군 안사면	36.4529800	128.4569960
4313	4775000000	경상북도 청송군	36.3776976	129.0961985
4314	4775025000	경상북도 청송군 청송읍	36.4195331	129.1022408
4315	4775031000	경상북도 청송군 부동면	36.3648569	129.1450103
4316	4775031500	경상북도 청송군 부동면	36.3648478	129.1450212
4317	4775032000	경상북도 청송군 부남면	36.2958101	129.1461091
4318	4775033000	경상북도 청송군 현동면	36.2495780	129.0319096
4319	4775034000	경상북도 청송군 현서면	36.2337320	128.9305878
4320	4775035000	경상북도 청송군 안덕면	36.3186128	128.9795687
4321	4775036000	경상북도 청송군 파천면	36.4406353	129.0045973
4322	4775037000	경상북도 청송군 진보면	36.5222107	129.0548025
4323	4776000000	경상북도 영양군	36.6841995	129.1363988
4324	4776025000	경상북도 영양군 영양읍	36.6369333	129.1583717
4325	4776031000	경상북도 영양군 입암면	36.5995254	129.0630270
4326	4776032000	경상북도 영양군 청기면	36.7221530	129.0359146
4327	4776032500	경상북도 영양군 청기면당동출장소	36.7221530	129.0359146
4328	4776032600	경상북도 영양군 청기면당리출장소	36.7578799	129.0535872
4329	4776033000	경상북도 영양군 일월면	36.7592792	129.1209762
4330	4776034000	경상북도 영양군 수비면	36.7784851	129.2348667
4331	4776035000	경상북도 영양군 석보면	36.5577978	129.1682093
4332	4777000000	경상북도 영덕군	36.4703964	129.2937985
4333	4777025000	경상북도 영덕군 영덕읍	36.4330292	129.3898748
4334	4777031000	경상북도 영덕군 강구면	36.3772486	129.3630866
4335	4777032000	경상북도 영덕군 남정면	36.3211750	129.3396621
4336	4777033000	경상북도 영덕군 달산면	36.3708571	129.2682589
4337	4777034000	경상북도 영덕군 지품면	36.4563763	129.2484846
4338	4777034500	경상북도 영덕군 지품면원전출장소	36.4849811	129.1919857
4339	4777035000	경상북도 영덕군 축산면	36.4894985	129.3768793
4340	4777035500	경상북도 영덕군 축산면축산출장소	36.5056450	129.4420054
4341	4777036000	경상북도 영덕군 영해면	36.5329367	129.3728021
4342	4777037000	경상북도 영덕군 병곡면	36.6066268	129.3817490
4343	4777038000	경상북도 영덕군 창수면	36.6001761	129.2854973
4344	4782000000	경상북도 청도군	35.7060936	128.8852962
4345	4782012000	경상북도 청도군 청도읍	35.6348867	128.7589737
4346	4782025000	경상북도 청도군 화양읍	35.6667363	128.7136234
4347	4782025100	경상북도 청도군 화양읍남성현출장	35.6958717	128.7175462
4348	4782025300	경상북도 청도군 청도읍	35.6348867	128.7589737
4349	4782025400	경상북도 청도군 청도읍유호출장소	35.5718980	128.7688239
