region_code,sido,sigungu,gu,eupmyeondong,level,region_name,total_population,elderly_65_plus,elderly_65_ratio,elderly_75_plus,elderly_75_ratio,elderly_85_plus,elderly_85_ratio,child_0_14,child_0_14_ratio,working_15_64,working_15_64_ratio,aging_index,pop_0_9,ratio_0_9,pop_10_19,ratio_10_19,pop_20_29,ratio_20_29,pop_30_39,ratio_30_39,pop_40_49,ratio_40_49,pop_50_59,ratio_50_59,pop_60_69,ratio_60_69,pop_70_79,ratio_70_79,pop_80_plus,ratio_80_plus,base_year
4711369000,경상북도,포항시 북구,북구,두호동,eupmyeondong,두호동,19913,5062,25.42,1558,7.82,327,1.64,2005.0,10.07,12846.0,64.51,252.5,1112.0,5.58,1871.0,9.4,1615.0,8.11,2154.0,10.82,2549.0,12.8,3589.0,18.02,4022.0,20.2,2250.0,11.3,751.0,3.77,2026
4711370000,경상북도,포항시 북구,북구,장량동,eupmyeondong,장량동,70456,10402,14.76,2850,4.05,642,0.91,9802.0,13.91,50252.0,71.32,106.1,5074.0,7.2,9168.0,13.01,7314.0,10.38,8750.0,12.42,12039.0,17.09,12506.0,17.75,9902.0,14.05,4328.0,6.14,1375.0,1.95,2026
4711371000,경상북도,포항시 북구,북구,환여동,eupmyeondong,환여동,8119,2088,25.72,715,8.81,131,1.61,900.0,11.09,5131.0,63.2,232.0,422.0,5.2,989.0,12.18,577.0,7.11,753.0,9.27,1279.0,15.75,1369.0,16.86,1406.0,17.32,1014.0,12.49,310.0,3.82,2026
4713000000,경상북도,경주시,,,sigungu,경주시,242880,72534,29.86,30441,12.53,8731,3.59,20037.0,8.25,150309.0,61.89,362.0,11079.0,4.56,18562.0,7.64,19635.0,8.08,23109.0,9.51,29722.0,12.24,44172.0,18.19,48176.0,19.84,30805.0,12.68,17620.0,7.25,2026
4713025000,경상북도,경주시,,감포읍,eupmyeondong,감포읍,4991,2336,46.8,1100,22.04,317,6.35,136.0,2.72,2519.0,50.47,1717.6,71.0,1.42,182.0,3.65,252.0,5.05,265.0,5.31,439.0,8.8,852.0,17.07,1272.0,25.49,986.0,19.76,672.0,13.46,2026
4713025300,경상북도,경주시,,안강읍,eupmyeondong,안강읍,21412,8024,37.47,3603,16.83,1069,4.99,1103.0,5.15,12285.0,57.37,727.5,477.0,2.23,1418.0,6.62,1388.0,6.48,1389.0,6.49,2044.0,9.55,4170.0,19.48,5016.0,23.43,3433.0,16.03,2077.0,9.7,2026
4713025600,경상북도,경주시,,건천읍,eupmyeondong,건천읍,14869,4464,30.02,1911,12.85,569,3.83,1182.0,7.95,9223.0,62.03,377.7,852.0,5.73,733.0,4.93,1138.0,7.65,1970.0,13.25,1645.0,11.06,2615.0,17.59,2893.0,19.46,1913.0,12.87,1110.0,7.47,2026
4713025900,경상북도,경주시,,외동읍,eupmyeondong,외동읍,21487,6496,30.23,2502,11.64,736,3.43,1656.0,7.71,13335.0,62.06,392.3,1111.0,5.17,1116.0,5.19,1296.0,6.03,2265.0,10.54,2699.0,12.56,3907.0,18.18,5033.0,23.42,2661.0,12.38,1399.0,6.51,2026
4713031000,경상북도,경주시,,양북면,eupmyeondong,경주시 양북면,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,2026
4713031500,경상북도,경주시,,문무대왕면,eupmyeondong,문무대왕면,3947,1698,43.02,803,20.34,267,6.76,166.0,4.21,2083.0,52.77,1022.9,126.0,3.19,125.0,3.17,300.0,7.6,464.0,11.76,268.0,6.79,559.0,14.16,898.0,22.75,684.0,17.33,523.0,13.25,2026
