region_code,sido,sigungu,eupmyeondong,level,lat,lon
4717055500,경상북도,안동시,용상동,eupmyeondong,36.561076,128.774877
4717058500,경상북도,안동시,서구동,eupmyeondong,36.564365,128.721617
4717060000,경상북도,안동시,태화동,eupmyeondong,36.561804,128.711988
4717061000,경상북도,안동시,법상동,eupmyeondong,36.561804,128.711988
4717062000,경상북도,안동시,평화동,eupmyeondong,36.573008,128.711191
4717063000,경상북도,안동시,안기동,eupmyeondong,36.591716,128.714446
4717065000,경상북도,안동시,옥동,eupmyeondong,36.558407,128.690336
4717066000,경상북도,안동시,송하동,eupmyeondong,36.580293,128.691399
4717069000,경상북도,안동시,강남동,eupmyeondong,36.543562,128.728383
4719000000,경상북도,구미시,,sigungu,36.212292,128.362699
4719025000,경상북도,구미시,선산읍,eupmyeondong,36.246959,128.28358
4719025300,경상북도,구미시,고아읍,eupmyeondong,36.183645,128.327688
4719025600,경상북도,구미시,산동읍,eupmyeondong,36.181061,128.462296
4719031000,경상북도,구미시,무을면,eupmyeondong,36.265641,128.187926
4719032000,경상북도,구미시,옥성면,eupmyeondong,36.304874,128.269568
4719033000,경상북도,구미시,도개면,eupmyeondong,36.304108,128.349364
4719034000,경상북도,구미시,해평면,eupmyeondong,36.219243,128.401761
4719035000,경상북도,구미시,산동면,eupmyeondong,36.181476,128.462212
4719036000,경상북도,구미시,장천면,eupmyeondong,36.152361,128.511968
4719051000,경상북도,구미시,송정동,eupmyeondong,36.118147,128.348323
4719052000,경상북도,구미시,원평1동,eupmyeondong,36.125409,128.347768
4719053000,경상북도,구미시,원평2동,eupmyeondong,36.131203,128.331449
4719053500,경상북도,구미시,원평동,eupmyeondong,36.12749,128.3403
4719055100,경상북도,구미시,도량동,eupmyeondong,36.143027,128.329406
4719055500,경상북도,구미시,지산동,eupmyeondong,36.137106,128.356007
4719056500,경상북도,구미시,선주원남동,eupmyeondong,36.129862,128.310086
4719058200,경상북도,구미시,형곡1동,eupmyeondong,36.114378,128.333049
4719058300,경상북도,구미시,형곡2동,eupmyeondong,36.103021,128.334007
4719059000,경상북도,구미시,신평1동,eupmyeondong,36.119944,128.361832
4719060000,경상북도,구미시,신평2동,eupmyeondong,36.125069,128.366255
4719061000,경상북도,구미시,비산동,eupmyeondong,36.122897,128.379833
4719062100,경상북도,구미시,공단1동,eupmyeondong,36.118,128.380034
4719062200,경상북도,구미시,공단2동,eupmyeondong,36.092451,128.379849
4719063000,경상북도,구미시,광평동,eupmyeondong,36.108746,128.356977
4719064500,경상북도,구미시,상모사곡동,eupmyeondong,36.092331,128.346546
