SERIAL	ADMCD	ADMNM	X	Y
4283	4729056000	경상북도 경산시 동부동	1114926	1757085
4284	4772000000	경상북도 군위군	1110165	1797406
4285	4772025000	경상북도 군위군 군위읍	1096951	1804750
4286	4772031000	경상북도 군위군 소보면	1087241	1806965
4287	4772032000	경상북도 군위군 효령면	1097948	1794565
4288	4772033000	경상북도 군위군 부계면	1104449	1786117
4289	4772034000	경상북도 군위군 우보면	1102959	1797491
4290	4772035000	경상북도 군위군 의흥면	1111300	1796870
4291	4772036000	경상북도 군위군 산성면	1109550	1789198
4292	4772037000	경상북도 군위군 고로면	1119534	1795738
4293	4772038000	경상북도 군위군 삼국유사면	1119504	1795714
4294	4773000000	경상북도 의성군	1098193	1818864
4295	4773025000	경상북도 의성군 의성읍	1107682	1817692
4296	4773031000	경상북도 의성군 단촌면	1106682	1826896
4297	4773032000	경상북도 의성군 점곡면	1113449	1823743
4298	4773033000	경상북도 의성군 옥산면	1119304	1820543
4299	4773034000	경상북도 의성군 사곡면	1115879	1812590
4300	4773035000	경상북도 의성군 춘산면	1118469	1805359
4301	4773036000	경상북도 의성군 가음면	1110369	1804352
4302	4773037000	경상북도 의성군 금성면	1106514	1807721
4303	4773038000	경상북도 의성군 봉양면	1099754	1812661
4304	4773039000	경상북도 의성군 비안면	1091056	1816265
4305	4773040000	경상북도 의성군 구천면	1082619	1814926
4306	4773041000	경상북도 의성군 단밀면	1077459	1819366
4307	4773042000	경상북도 의성군 단북면	1080165	1822221
4308	4773043000	경상북도 의성군 안계면	1086520	1822453
4309	4773044000	경상북도 의성군 다인면	1077593	1830506
4310	4773045000	경상북도 의성군 신평면	1091154	1830727
4311	4773046000	경상북도 의성군 안평면	1096935	1821903
4312	4773047000	경상북도 의성군 안사면	1085757	1828803
4313	4775000000	경상북도 청송군	1143178	1821210
4314	4775025000	경상북도 청송군 청송읍	1143643	1825860
4315	4775031000	경상북도 청송군 부동면	1147581	1819859
4316	4775031500	경상북도 청송군 부동면	1147582	1819858
4317	4775032000	경상북도 청송군 부남면	1147810	1812201
4318	4775033000	경상북도 청송군 현동면	1137636	1806904
4319	4775034000	경상북도 청송군 현서면	1128558	1805007
4320	4775035000	경상북도 청송군 안덕면	1132816	1814489
4321	4775036000	경상북도 청송군 파천면	1134852	1828060
4322	4775037000	경상북도 청송군 진보면	1139206	1837181
4323	4776000000	경상북도 영양군	1146206	1855273
4324	4776025000	경상북도 영양군 영양읍	1148260	1850063
4325	4776031000	경상북도 영양군 입암면	1139803	1845770
4326	4776032000	경상북도 영양군 청기면	1137160	1859335
4327	4776032500	경상북도 영양군 청기면당동출장소	1137160	1859335
4328	4776032600	경상북도 영양군 청기면당리출장소	1138674	1863324
4329	4776033000	경상북도 영양군 일월면	1144687	1863579
4330	4776034000	경상북도 영양군 수비면	1154815	1865888
4331	4776035000	경상북도 영양군 석보면	1149292	1841299
4332	4777000000	경상북도 영덕군	1160713	1831805
4333	4777025000	경상북도 영덕군 영덕읍	1169403	1827824
4334	4777031000	경상북도 영덕군 강구면	1167121	1821589
4335	4777032000	경상북도 영덕군 남정면	1165138	1815328
4336	4777033000	경상북도 영덕군 달산면	1158627	1820720
4337	4777034000	경상북도 영덕군 지품면	1156681	1830175
4338	4777034500	경상북도 영덕군 지품면원전출장소	1151562	1833258
4339	4777035000	경상북도 영덕군 축산면	1168116	1834066
4340	4777035500	경상북도 영덕군 축산면축산출장소	1173914	1835973
4341	4777036000	경상북도 영덕군 영해면	1167657	1838878
4342	4777037000	경상북도 영덕군 병곡면	1168298	1847069
4343	4777038000	경상북도 영덕군 창수면	1159702	1846189
4344	4782000000	경상북도 청도군	1125319	1746420
4345	4782012000	경상북도 청도군 청도읍	1113992	1738368
4346	4782025000	경상북도 청도군 화양읍	1109842	1741849
4347	4782025100	경상북도 청도군 화양읍남성현출장	1110157	1745085
4348	4782025300	경상북도 청도군 청도읍	1113992	1738368
4349	4782025400	경상북도 청도군 청도읍유호출장소	1114974	1731393
4350	4782029000	경상북도 청도군 화양읍남성현출장	1110157	1745085
4351	4782029100	경상북도 청도군 청도읍유호출장소	1114974	1731393
4352	4782031000	경상북도 청도군 각남면	1105182	1736681
4353	4782032000	경상북도 청도군 풍각면	1098036	1738293
4354	4782033000	경상북도 청도군 각북면	1097020	1744350
4355	4782034000	경상북도 청도군 이서면	1104392	1744617
4356	4782035000	경상북도 청도군 운문면	1130950	1748814
4357	4782036000	경상북도 청도군 금천면	1126972	1745604
4358	4782037000	경상북도 청도군 매전면	1121927	1741834
4359	4783000000	경상북도 고령군	1073332	1748601
4360	4783025000	경상북도 고령군 고령읍	1068876	1748525
4361	4783025300	경상북도 고령군 대가야읍	1068876	1748525
4362	4783031000	경상북도 고령군 덕곡면	1063694	1754636
4363	4783032000	경상북도 고령군 운수면	1071483	1754340
4364	4783033000	경상북도 고령군 성산면	1077743	1751708
4365	4783034000	경상북도 고령군 다산면	1083528	1758110
4366	4783035000	경상북도 고령군 개진면	1081318	1745946
4367	4783036000	경상북도 고령군 우곡면	1075818	1740581
4368	4783037000	경상북도 고령군 쌍림면	1066941	1743887
4369	4784000000	경상북도 성주군	1065745	1769084
4370	4784025000	경상북도 성주군 성주읍	1070575	1769511
4371	4784031000	경상북도 성주군 선남면	1077281	1767727
4372	4784032000	경상북도 성주군 용암면	1073846	1760797
4373	4784033000	경상북도 성주군 수륜면	1063238	1759819
4374	4784034000	경상북도 성주군 가천면	1056928	1763797
4375	4784035000	경상북도 성주군 금수면	1056904	1769375
4376	4784035500	경상북도 성주군 금수강산면	1056915	1769366
4377	4784036000	경상북도 성주군 대가면	1063890	1767586
4378	4784037000	경상북도 성주군 벽진면	1062249	1775689
4379	4784038000	경상북도 성주군 초전면	1067630	1778161
4380	4784039000	경상북도 성주군 월항면	1072337	1775596
4381	4785000000	경상북도 칠곡군	1086924	1779051
4382	4785025000	경상북도 칠곡군 왜관읍	1082223	1773647
4383	4785025300	경상북도 칠곡군 북삼읍	1076258	1785127
4384	4785025600	경상북도 칠곡군 석적읍	1085178	1784067
4385	4785031000	경상북도 칠곡군 지천면	1088608	1774847
4386	4785032000	경상북도 칠곡군 동명면	1095723	1779174
4387	4785033000	경상북도 칠곡군 가산면	1091482	1786953
4388	4785034000	경상북도 칠곡군 석적면	1085178	1784067
4389	4785035000	경상북도 칠곡군 북삼면	1076258	1785127
4390	4785036000	경상북도 칠곡군 약목면	1077205	1781373
4391	4785037000	경상북도 칠곡군 기산면	1077547	1776141
4392	4790000000	경상북도 예천군	1086940	1850905
4393	4790025000	경상북도 예천군 예천읍	1084847	1851977
4394	4790025300	경상북도 예천군 호명읍	1087289	1846132
4395	4790031000	경상북도 예천군 용문면	1080902	1856948
4396	4790032000	경상북도 예천군 상리면	1082256	1866895
4397	4790033000	경상북도 예천군 하리면	1083626	1861286
4398	4790034000	경상북도 예천군 감천면	1091189	1859667
4399	4790035000	경상북도 예천군 보문면	1093391	1854165
4400	4790036000	경상북도 예천군 호명면	1087298	1846173
4401	4790037000	경상북도 예천군 유천면	1078379	1850948
4402	4790038000	경상북도 예천군 용궁면	1071189	1846137
4403	4790039000	경상북도 예천군 개포면	1077730	1846387
4404	4790040000	경상북도 예천군 지보면	1079445	1839429
4405	4790041000	경상북도 예천군 풍양면	1072004	1835083
4406	4790042000	경상북도 예천군 효자면	1082256	1866895
4407	4790043000	경상북도 예천군 은풍면	1083626	1861286
4408	4792000000	경상북도 봉화군	1124864	1881466
4409	4792025000	경상북도 봉화군 봉화읍	1107384	1877431
4410	4792031000	경상북도 봉화군 물야면	1111017	1887032
4411	4792032000	경상북도 봉화군 봉성면	1116696	1880067
4412	4792033000	경상북도 봉화군 법전면	1125522	1879815
4413	4792034000	경상북도 봉화군 춘양면	1119181	1890172
4414	4792035000	경상북도 봉화군 소천면	1135362	1885201
4415	4792036000	경상북도 봉화군 재산면	1133804	1869339
4416	4792037000	경상북도 봉화군 명호면	1123492	1871506
4417	4792038000	경상북도 봉화군 상운면	1114514	1872109
4418	4792039000	경상북도 봉화군 석포면	1139163	1895159
4419	4793000000	경상북도 울진군	1158994	1878873
4420	4793025000	경상북도 울진군 울진읍	1165184	1890818
4421	4793025300	경상북도 울진군 평해읍	1173826	1860441
4422	4793031000	경상북도 울진군 북면	1161003	1898311
4423	4793031500	경상북도 울진군 북면하당출장소	1162008	1895055
4424	4793032000	경상북도 울진군 서면	1152047	1884487
4425	4793033000	경상북도 울진군 근남면	1164047	1884156
4426	4793034000	경상북도 울진군 원남면	1165325	1875438
4427	4793035000	경상북도 울진군 기성면	1169979	1869536
4428	4793036000	경상북도 울진군 온정면	1165793	1859361
4429	4793037000	경상북도 울진군 죽변면	1167947	1896782
4430	4793038000	경상북도 울진군 후포면	1171674	1854722
4431	4793039000	경상북도 울진군 금강송면	1152047	1884487
4432	4793040000	경상북도 울진군 매화면	1165325	1875438
4433	4794000000	경상북도 울릉군	1296749	1950388
4434	4794025000	경상북도 울릉군 울릉읍	1299561	1949330
4435	4794031000	경상북도 울릉군 서면	1294535	1948970
4436	4794031500	경상북도 울릉군 서면태하출장소	1291770	1951010
4437	4794032000	경상북도 울릉군 북면	1296646	1952854
